date,time,v,daily_cases,cur_infectives
5/31/2022,1,4475.5,NA,10357
6/1/2022,2,4805.5,505,
6/2/2022,3,4575.5,489,
6/3/2022,4,4640,499,
6/4/2022,5,4217,446,
6/5/2022,6,3586.5,515,
6/6/2022,7,3910.5,543,
6/7/2022,8,3222.5,239,
6/8/2022,9,3072,293,
6/9/2022,10,4193.5,614,
6/10/2022,11,5777,668,
6/11/2022,12,4432,851,
6/12/2022,13,3723.5,814,
6/13/2022,14,4447.5,737,
6/14/2022,15,3963,849,
6/15/2022,16,4317,1047,
6/16/2022,17,5211.5,1179,
6/17/2022,18,5509,1145,
6/18/2022,19,3781,1276,
6/19/2022,20,3379,1276,
6/20/2022,21,3952.5,1327,
6/21/2022,22,3136.5,1198,
6/22/2022,23,3178.5,1447,
6/23/2022,24,3658,1650,
6/24/2022,25,4070.5,1860,
6/25/2022,26,3011,1794,
6/26/2022,27,2438,1917,
6/27/2022,28,2963,1873,
6/28/2022,29,2768.5,1685,
6/29/2022,30,3503.5,2004,
6/30/2022,31,2858,2358,
7/1/2022,32,727,2318,
7/2/2022,33,993.5,2227,
7/3/2022,34,2559,1828,
7/4/2022,35,2763.5,1841,
7/5/2022,36,2158.5,2268,
7/6/2022,37,2044,2815,
7/7/2022,38,2812,3028,
7/8/2022,39,3285,2945,
7/9/2022,40,2154,2995,
7/10/2022,41,1913.5,2992,
7/11/2022,42,2281,2863,
7/12/2022,43,1946,2769,
7/13/2022,44,1982,3154,
7/14/2022,45,2512.5,3674,
7/15/2022,46,3016,3574,
7/16/2022,47,2093,3762,
7/17/2022,48,1724.5,3486,
7/18/2022,49,2067,3436,
7/19/2022,50,1762,3256,
7/20/2022,51,1675,3805,
7/21/2022,52,2019.5,4375,
7/22/2022,53,2280.5,4270,
7/23/2022,54,1603,4265,
7/24/2022,55,1414,4250,
7/25/2022,56,1712.5,4130,
7/26/2022,57,1696,4276,
7/27/2022,58,1870,4508,
7/28/2022,59,2114,4886,
7/29/2022,60,2104,4884,
7/30/2022,61,1429.5,4683,
7/31/2022,62,1264.5,4634,
8/1/2022,63,1606.5,4254,
8/2/2022,64,1580.5,4123,
8/3/2022,65,1586.5,4547,
8/4/2022,66,1919.5,5020,
